============================================================
EXPERIMENT START
[1767091096.950] MOVEMENT
[1767091096.982] MOVEMENT
[1767091097.014] MOVEMENT
[1767091097.046] MOVEMENT
[1767091097.078] MOVEMENT
[1767091097.110] MOVEMENT
[1767091097.142] MOVEMENT
[1767091097.175] MOVEMENT
[1767091097.206] MOVEMENT
[1767091097.237] MOVEMENT
[1767091097.286] MOVEMENT
[1767091097.318] MOVEMENT
[1767091097.351] MOVEMENT
[1767091097.383] MOVEMENT
[1767091097.415] MOVEMENT
[1767091097.446] MOVEMENT
[1767091097.478] MOVEMENT
[1767091097.512] MOVEMENT
[1767091097.542] MOVEMENT
[1767091097.574] MOVEMENT
[1767091097.607] MOVEMENT
[1767091097.654] MOVEMENT
[1767091097.688] MOVEMENT
[1767091097.718] MOVEMENT
[1767091097.750] MOVEMENT
[1767091097.782] MOVEMENT
[1767091097.813] MOVEMENT
[1767091097.846] MOVEMENT
============================================================
EXPERIMENT END
End time: 2025-12-30T12:38:22.739955
------------------------------------------------------------
Total movements: 553
Total stimulations: 8
Total reactions to stimulation: 5
Total movements NOT reactions: 548
============================================================
